,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,latitude,longitude
0,서울특별시 마포구청,서울특별시 마포구 대흥로24길 32,서울특별시 마포구 염리동 508-1,생활방범,1,130,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5543611082577,126.947754672999
1,서울특별시 마포구청,서울특별시 마포구 삼개로1길 3,서울특별시 마포구 도화동 201-55,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5392543613621,126.947835749758
2,서울특별시 마포구청,서울특별시 마포구 새창로4길 15,서울특별시 마포구 도화동 185-20,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5413946894972,126.951557864275
3,서울특별시 마포구청,서울특별시 마포구 마포대로4나길 13,서울특별시 마포구 마포동 220,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5381600479951,126.946107649957
4,서울특별시 마포구청,서울특별시 마포구 와우산로7길11,서울특별시 마포구 상수동 326-1,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5470788258422,126.922262975559
5,서울특별시 마포구청,서울특별시 마포구 와우산로5길 39,서울특별시 마포구 당인동 14-1,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5470698824196,126.920840448737
6,서울특별시 마포구청,서울특별시 마포구 신수로9길19,서울특별시 마포구 신수동 93-111,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5505923900653,126.934882654173
7,서울특별시 마포구청,서울특별시 마포구 서강로8길 12,서울특별시 마포구 신수동 70-18,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5517928167841,126.93336982865
8,서울특별시 마포구청,서울특별시 마포구 와우산로38길 6,서울특별시 마포구 동교동 188-4,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5554470490685,126.931087748643
9,서울특별시 마포구청,서울특별시 마포구 와우산로38길 32,서울특별시 마포구 동교동 190-37,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5549114261577,126.9322306859
10,서울특별시 마포구청,서울특별시 마포구 양화로8길 21,서울특별시 마포구 서교동 395-195,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5497928136695,126.916473096578
11,서울특별시 마포구청,서울특별시 마포구 잔다리로3안길 31,서울특별시 마포구 서교동 395-128,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.550216543509,126.919456362657
12,서울특별시 마포구청,서울특별시 마포구 월드컵로8길 73,서울특별시 마포구 서교동 466-9,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5537346848839,126.916277796195
13,서울특별시 마포구청,서울특별시 마포구 동교로 282,서울특별시 마포구 연남동 224-18,생활방범,1,130,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5641861807997,126.926647025915
14,서울특별시 마포구청,서울특별시 마포구 동교로46길 30,서울특별시 마포구 연남동 384-1,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5621201952542,126.926356981738
15,서울특별시 마포구청,서울특별시 마포구 월드컵로19길 21,서울특별시 마포구 망원동 57-17,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5565096792265,126.908205282187
16,서울특별시 마포구청,서울특별시 마포구 월드컵로 13길 57,서울특별시 마포구 망원동 57-169,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25,37.5552026270184,126.907041149571
